NationalDrugCode,NdcDescription,NumberOfClaims
603506228,PERPHENAZINE TAB 8MG,2205
603506321,PERPHENAZINE TAB 16MG,8658
603509021,PERPHENAZINE TAB 2MG,3158
603509028,PERPHENAZINE TAB 2MG,137
603509121,PERPHENAZINE TAB 4MG,4243
603509128,PERPHENAZINE TAB 4MG,115
603509221,PERPHENAZINE TAB 8MG,3727
603509228,PERPHENAZINE TAB 8MG,241
603509321,PERPHENAZINE TAB 16MG,1049
603511021,PROPOXY HCL  CAP 65MG,5474
603511028,PROPOXY HCL  CAP 65MG,101
603511521,PERPHEN/AMIT TAB 2-10MG,1
603514121,PHENAZOPYRID TAB 100MG,6424
603514132,PHENAZOPYRID TAB 100MG,446
603514221,PHENAZOPYRID TAB 200MG,17813
603514232,PHENAZOPYRID TAB 200MG,453
603516521,PHENOBARB    TAB 16.2MG,10862
603516532,PHENOBARB    TAB 16.2MG,13846
603516602,PHENOBARB    TAB 32.4MG,337
603516616,PHENOBARB    TAB 32.4MG,273
603516620,PHENOBARB    TAB 32.4MG,12
603516621,PHENOBARB    TAB 32.4MG,55616
603516622,PHENOBARB    TAB 32.4MG,672
603516632,PHENOBARB    TAB 32.4MG,97945
603516721,PHENOBARB    TAB 64.8MG,85887
603516732,PHENOBARB    TAB 64.8MG,41577
603516821,PHENOBARB    TAB 97.2MG,55745
603516832,PHENOBARB    TAB 97.2MG,4343
603519121,PHENTERMINE  TAB 37.5MG,5
603519216,PHENTERMINE  TAB 37.5MG,5596
603519221,PHENTERMINE  TAB 37.5MG,33627
603519232,PHENTERMINE  TAB 37.5MG,1879
603522121,PINDOLOL     TAB 10MG,4
603522321,PIROXICAM    CAP 20MG,1
603522328,PIROXICAM    CAP 20MG,4
603523721,POT CHLORIDE TAB 8MEQ CR,7
603523728,POT CHLORIDE TAB 8MEQ CR,23
603523732,POT CHLORIDE TAB 8MEQ CR,83
603523821,POT CHLORIDE TAB 8MEQ ER,1
603524121,POT CHLORIDE TAB 10MEQ CR,38
603524128,POT CHLORIDE TAB 10MEQ CR,37
603524132,POT CHLORIDE TAB 10MEQ CR,93
603524321,POT CHLORIDE TAB 10MEQ CR,44
603524332,POT CHLORIDE TAB 10MEQ CR,9
603524421,POT CHLORIDE TAB 20MEQ CR,35
603524428,POT CHLORIDE TAB 20MEQ CR,16
603524432,POT CHLORIDE TAB 20MEQ CR,23
603533215,PREDNISONE   PAK 5MG,25
603533231,PREDNISONE   PAK 5MG,3
603533232,PREDNISONE   TAB 5MG,9
603533315,PREDNISONE   PAK 10MG,5
603533321,PREDNISONE   TAB 10MG,5
603533331,PREDNISONE   PAK 10MG,7
603533332,PREDNISONE   TAB 10MG,5
603533432,PREDNISONE   TAB 20MG,1
603533521,PREDNISONE   TAB 1MG,178217
603533532,PREDNISONE   TAB 1MG,12367
603533621,PREDNISONE   TAB 2.5MG,83510
603533715,PREDNISONE   PAK 5MG,84908
603533721,PREDNISONE   TAB 5MG,61228
603533731,PREDNISONE   PAK 5MG,9774
603533732,PREDNISONE   TAB 5MG,334746
603533815,PREDNISONE   PAK 10MG,128980
603533821,PREDNISONE   TAB 10MG,175982
603533828,PREDNISONE   TAB 10MG,160055
603533831,PREDNISONE   PAK 10MG,47409
603533832,PREDNISONE   TAB 10MG,350876
603533921,PREDNISONE   TAB 20MG,214832
603533928,PREDNISONE   TAB 20MG,69914
603533932,PREDNISONE   TAB 20MG,99511
603535821,PRENATAL PLS TAB,1
603536121,PRENATAL     TAB PLUS,390
603536921,PRIMIDONE    TAB 50MG,10
603536928,PRIMIDONE    TAB 50MG,4
603537021,PRIMIDONE    TAB 250MG,17
603537121,PRIMIDONE    TAB 50MG,200540
603537128,PRIMIDONE    TAB 50MG,21317
603537221,PRIMIDONE    TAB 250MG,53792
603537228,PRIMIDONE    TAB 250MG,11365
603543721,PROMETHAZINE TAB 12.5MG,77131
603543821,PROMETHAZINE TAB 25MG,260591
603543830,PROMETHAZINE TAB 25MG,5850
603543832,PROMETHAZINE TAB 25MG,46992
603543921,PROMETHAZINE TAB 50MG,3114
603544821,PROPAFENONE  TAB 150MG,49327
603544825,PROPAFENONE  TAB 150MG,13713
603544921,PROPAFENONE  TAB 225MG,31439
603544925,PROPAFENONE  TAB 225MG,574
603545021,PROPAFENONE  TAB 300MG,11251
603545921,PROPOXY HCL  CAP 65MG,9360
603545928,PROPOXY HCL  CAP 65MG,1928
603546221,PROPOXY/APAP TAB 65-650MG,1268
603546228,PROPOXY/APAP TAB 65-650MG,380
603546321,PROPOXY/APAP TAB 65-650MG,1
603546521,PROPO-N/APAP TAB 50/325,10579
603546621,PROPO-N/APAP TAB 100-650,3422
603546628,PROPO-N/APAP TAB 100-650,15909
603546632,PROPO-N/APAP TAB 100-650,37706
603546716,PROPO-N/APAP TAB 100-650,25
603546721,PROPO-N/APAP TAB 100-650,1820
603546728,PROPO-N/APAP TAB 100-650,242001
603546732,PROPO-N/APAP TAB 100-650,19674
603546802,PROPO-N/APAP TAB 100-650,183
603546804,PROPO-N/APAP TAB 100-650,46
603546816,PROPO-N/APAP TAB 100-650,322
603546819,PROPO-N/APAP TAB 100-650,3
603546820,PROPO-N/APAP TAB 100-650,86
603546821,PROPO-N/APAP TAB 100-650,3321
603546822,PROPO-N/APAP TAB 100-650,155
603546828,PROPO-N/APAP TAB 100-650,88881
603546832,PROPO-N/APAP TAB 100-650,56736
603548221,PROPRANOLOL  TAB 10MG,38446
603548232,PROPRANOLOL  TAB 10MG,14161
603548302,PROPRANOLOL  TAB 20MG,192
603548321,PROPRANOLOL  TAB 20MG,41266
603548332,PROPRANOLOL  TAB 20MG,11487
603548421,PROPRANOLOL  TAB 40MG,25137
603548432,PROPRANOLOL  TAB 40MG,7285
603548521,PROPRANOLOL  TAB 60MG,7971
603548621,PROPRANOLOL  TAB 80MG,6134
603548628,PROPRANOLOL  TAB 80MG,2223
603549021,PROPRANOLOL  TAB 20MG,1
603549132,PROPRANOLOL  TAB 40MG,4
603549821,PROPRANOLOL  CAP 80MG ER,1
603554121,Q-BID-DM     TAB 30-600CR,2
603554128,Q-BID-DM     TAB 30-600CR,5
603554328,Q-BID-LA     TAB 600MG,1
603561821,QUININE SULF TAB 260MG,16
603561832,QUININE SULF TAB 260MG,1
603562121,QUININE SULF CAP 5GR,2
603562221,QUININE SULF CAP 325MG,6
603562228,QUININE SULF CAP 325MG,1
603568320,RISPERIDONE  TAB 0.25MG,14564
603568328,RISPERIDONE  TAB 0.25MG,17684
603568420,RISPERIDONE  TAB 0.5MG,33072
603568428,RISPERIDONE  TAB 0.5MG,30753
603568432,RISPERIDONE  TAB 0.5MG,3234
603568520,RISPERIDONE  TAB 1MG,36521
603568528,RISPERIDONE  TAB 1MG,35561
603568532,RISPERIDONE  TAB 1MG,3873
603568620,RISPERIDONE  TAB 2MG,30732
603568628,RISPERIDONE  TAB 2MG,25858
603568632,RISPERIDONE  TAB 2MG,4233
603568820,RISPERIDONE  TAB 4MG,19235
603568828,RISPERIDONE  TAB 4MG,9746
603568920,RISPERIDONE  TAB 3MG,20286
603568928,RISPERIDONE  TAB 3MG,18271
603575421,SALSALATE    TAB 500MG,57
603575428,SALSALATE    TAB 500MG,7
603575521,SALSALATE    TAB 750MG,144
603575528,SALSALATE    TAB 750MG,52
603576321,SPIRONOLACT  TAB 25MG,467163
603576328,SPIRONOLACT  TAB 25MG,86779
603576330,SPIRONOLACT  TAB 25MG,3717
603576332,SPIRONOLACT  TAB 25MG,149974
603576421,SPIRONOLACT  TAB 50MG,340921
603576428,SPIRONOLACT  TAB 50MG,42225
603576516,SPIRONOLACT  TAB 100MG,6145
603576521,SPIRONOLACT  TAB 100MG,183910
603576528,SPIRONOLACT  TAB 100MG,1616
603576621,SPIRONOLACT  TAB 25MG,1
603576628,SPIRONOLACT  TAB 25MG,8
603576721,SPIRONO/HCTZ TAB 25/25,1
603576728,SPIRONO/HCTZ TAB 25/25,14
603576921,SOTALOL HCL  TAB 80MG,117057
603576928,SOTALOL HCL  TAB 80MG,64458
603577021,SOTALOL HCL  TAB 120MG,26295
603577025,SOTALOL HCL  TAB 120MG,11721
603577121,SOTALOL HCL  TAB 160MG,9406
603577221,SOTALOL HCL  TAB 240MG,4
603577921,SMZ/TMP DS   TAB 800-160,1
603577928,SMZ/TMP DS   TAB 800-160,4
603578021,SMZ-TMP      TAB 400-80MG,43361
603578028,SMZ-TMP      TAB 400-80MG,9305
603578121,SMZ/TMP DS   TAB 800-160,56881
603578128,SMZ/TMP DS   TAB 800-160,231645
603580104,SULFAZINE    TAB 500MG,307
603580121,SULFAZINE    TAB 500MG,32939
603580128,SULFAZINE    TAB 500MG,11587
603580132,SULFAZINE    TAB 500MG,3371
603580221,SULFASALAZIN TAB 500MG,14
603580228,SULFASALAZIN TAB 500MG,2
603580321,SULFAZINE EC TAB 500MG,48806
603580325,SULFAZINE EC TAB 500MG,17347
603587321,SULINDAC     TAB 200MG,1
603589121,TEMAZEPAM    CAP 7.5MG,531
603589221,TEMAZEPAM    CAP 15MG,7340
603589228,TEMAZEPAM    CAP 15MG,2546
603589421,TEMAZEPAM    CAP 30MG,7907
603589428,TEMAZEPAM    CAP 30MG,2690
603591416,TELMISARTAN  TAB 20MG,157
603591516,TELMISARTAN  TAB 40MG,792
603591616,TELMISARTAN  TAB 80MG,1474
603591932,TETRACYCLINE CAP 250MG,1
603592032,TETRACYCLINE CAP 500MG,1
603592616,TELMISA/HCTZ TAB 40-12.5,3841
603592716,TELMISA/HCTZ TAB 80-12.5,6604
603592816,TELMISA/HCTZ TAB 80-25MG,5762
603594421,THEOPHYLLINE TAB 100MG CR,38
603594428,THEOPHYLLINE TAB 100MG CR,8
603594521,THEOPHYLLINE TAB 200MG CR,75
603594528,THEOPHYLLINE TAB 200MG CR,10
603594532,THEOPHYLLINE TAB 200MG CR,32
603594621,THEOPHYLLINE TAB 300MG CR,100
603594628,THEOPHYLLINE TAB 300MG CR,51
603594632,THEOPHYLLINE TAB 300MG CR,27
603595121,THEOPHYLLINE CAP 200MG ER,6
603595221,THEOPHYLLINE CAP 300MG ER,14
603596921,THEROBEC     TAB,783
603597021,THEROBEC     TAB PLUS,4777
603604532,THYROID      TAB 32.5MG,1
603604632,THYROID      TAB 65MG,6
603605021,THYROID      TAB 15MG,49
603605121,THYROID      TAB 30MG,41
603605132,THYROID      TAB 30MG,87
603605221,THYROID      TAB 60MG,127
603605232,THYROID      TAB 60MG,248
603605321,THYROID      TAB 90MG,103
603605332,THYROID      TAB 90MG,15
603605421,THYROID      TAB 120MG,79
603605432,THYROID      TAB 120MG,465
603605521,THYROID      TAB 180MG,49
603605532,THYROID      TAB 180MG,19
603613421,TORSEMIDE    TAB 5MG,665
603613521,TORSEMIDE    TAB 10MG,5550
603613621,TORSEMIDE    TAB 20MG,17773
603613628,TORSEMIDE    TAB 20MG,456
603613721,TORSEMIDE    TAB 100MG,414
603614421,TRAZODONE    TAB 50MG,2
603614428,TRAZODONE    TAB 50MG,2
603614721,TRAZODONE    TAB 50MG,4437
603614732,TRAZODONE    TAB 50MG,4102
603614821,TRAZODONE    TAB 100MG,1328
603614832,TRAZODONE    TAB 100MG,1642
603614921,VENLAFAXINE  TAB 50MG,1673
603615016,VENLAFAXINE  TAB 75MG,624
603615021,VENLAFAXINE  TAB 75MG,16792
603615025,VENLAFAXINE  TAB 75MG,2405
603615121,VENLAFAXINE  TAB 100MG,2834
603615125,VENLAFAXINE  TAB 100MG,500
603615621,VENLAFAXINE  TAB 25MG,1148
603615721,VENLAFAXINE  TAB 37.5MG,6291
603615725,VENLAFAXINE  TAB 37.5MG,576
603616002,TRAZODONE    TAB 50MG,1473
603616013,TRAZODONE    TAB 50MG,175
603616016,TRAZODONE    TAB 50MG,1196
603616020,TRAZODONE    TAB 50MG,870
603616021,TRAZODONE    TAB 50MG,142541
603616028,TRAZODONE    TAB 50MG,52774
603616032,TRAZODONE    TAB 50MG,235256
603616102,TRAZODONE    TAB 100MG,1744
603616104,TRAZODONE    TAB 100MG,297
603616116,TRAZODONE    TAB 100MG,77
603616120,TRAZODONE    TAB 100MG,815
603616121,TRAZODONE    TAB 100MG,123430
603616128,TRAZODONE    TAB 100MG,34658
603616132,TRAZODONE    TAB 100MG,139281
603621621,TRICOSAL     TAB 750MG,12
603621721,TRICOSAL     TAB 1000MG,1
603624021,TRIHEXYPHEN  TAB 2MG,37800
603624032,TRIHEXYPHEN  TAB 2MG,9199
603624121,TRIHEXYPHEN  TAB 5MG,19095
603624132,TRIHEXYPHEN  TAB 5MG,2389
603630021,TRI-VIT/FL   CHW,29
603632021,URSODIOL     CAP 300MG,14
603633020,VALGANCICLOV TAB 450MG,8434
603634002,VALSARTAN    TAB 40MG,308
603634102,VALSARTAN    TAB 80MG,1485
603634128,VALSARTAN    TAB 80MG,428
603634202,VALSARTAN    TAB 160MG,2721
603634228,VALSARTAN    TAB 160MG,499
603634302,VALSARTAN    TAB 320MG,2047
603634328,VALSARTAN    TAB 320MG,517
603634502,VALSART/HCTZ TAB 80-12.5,14752
603634528,VALSART/HCTZ TAB 80-12.5,1139
603634602,VALSART/HCTZ TAB 160-12.5,35674
603634628,VALSART/HCTZ TAB 160-12.5,3412
603634702,VALSART/HCTZ TAB 160-25MG,23840
603634728,VALSART/HCTZ TAB 160-25MG,1652
603634802,VALSART/HCTZ TAB 320-12.5,17606
603634828,VALSART/HCTZ TAB 320-12.5,1975
603634902,VALSART/HCTZ TAB 320-25MG,31044
603634928,VALSART/HCTZ TAB 320-25MG,1603
603635921,VERAPAMIL    TAB 180MG SR,18
603638121,VICA FORTE   CAP,1302
603643021,YOHIMBINE    TAB 5.4MG,7
603646809,ZOLPIDEM     TAB 5MG,576
603646816,ZOLPIDEM     TAB 5MG,3239
603646821,ZOLPIDEM     TAB 5MG,291342
603646828,ZOLPIDEM     TAB 5MG,60201
603646832,ZOLPIDEM     TAB 5MG,70488
603646909,ZOLPIDEM     TAB 10MG,2598
603646913,ZOLPIDEM     TAB 10MG,3057
603646916,ZOLPIDEM     TAB 10MG,18802
603646920,ZOLPIDEM     TAB 10MG,517
603646921,ZOLPIDEM     TAB 10MG,760404
603646928,ZOLPIDEM     TAB 10MG,536457
603646932,ZOLPIDEM     TAB 10MG,455345
603650164,AMOXICILLIN  SUS 250/5ML,1
603654268,CEPHALEXIN   SUS 250/5ML,1
603656368,ERYTHRO-SUL  SUS 200-600,1
603660668,PENICILLN VK SOL 250/5ML,1
603699521,INSULIN SYRG MIS 0.5/28G,428
603699621,INSULIN SYRG MIS 1ML/28G,272
603699721,INSULIN SYRG MIS 0.5/29G,457
603699821,INSULIN SYRG MIS 1ML/29G,397
603699921,INSULIN SYRG MIS 0.5/30G,426
603700021,INSULIN SYRG MIS 1ML/30G,249
603700121,INSULIN SYRG MIS 0.5/31G,287
603700221,INSULIN SYRG MIS 1ML/31G,144
603702073,A/B          SOL OTIC,40087
603703541,ACETIC ACID  SOL 2% OTIC,5
603703639,ACETIC ACID  SOL /HC OTIC,7
603703841,ACETIC ACID  SOL 2% OTIC,11960
603703939,HC/ACET ACID SOL OTIC,2429
603707241,ATROPINE SUL SOL 1% OP,1
603713770,ERYTHROMYCIN OIN OP,7
603715837,GENTAFAIR    SOL 0.3% OP,1
603717841,NAPHAZOLINE  SOL 0.1% OP,1
603723873,OTICAINE     SOL 20% OTIC,882
603724073,EAR-GESIC    DRO OTIC,1103
603728041,SOD SULFACET SOL 10% OP,3
603733937,TIMOLOL MAL  SOL 0.5% OP,1
603734537,TOBRAMYCIN   SOL 0.3% OP,5
603749539,ZOLENE HC    DRO,1838
603749639,ZOTANE HC    DRO AQUEOUS,363
603751217,KIMIDESS     TAB,639
603751249,KIMIDESS     TAB,803
603752117,CYCLAFEM     TAB 1/35,65143
603752149,CYCLAFEM     TAB 1/35,137411
603752517,CYCLAFEM     TAB 7/7/7,40450
603752549,CYCLAFEM     TAB 7/7/7,32985
603754017,EMOQUETTE    TAB,124644
603754049,EMOQUETTE    TAB,87007
603760602,GILDESS      TAB 1.5/30,486
603760615,GILDESS      TAB 1.5/30,92653
603760648,GILDESS      TAB 1.5/30,16116
603760702,GILDESS      TAB 1/20,923
603760715,GILDESS      TAB 1/20,174823
603760748,GILDESS      TAB 1/20,80046
603760817,GILDESS FE   TAB 1.5/30,217918
603760917,GILDESS FE   TAB 1/20,688500
603761017,GILDESS 24   TAB FE 1/20,1898
603761049,GILDESS 24   TAB FE 1/20,3746
603762517,MYZILRA      TAB,38780
603762549,MYZILRA      TAB,18387
603763417,ORSYTHIA     TAB,349600
603763449,ORSYTHIA     TAB,136489
603764017,PREVIFEM     TAB,9397
603764217,PREVIFEM     TAB,305770
603766317,TRI-PREVIFEM TAB,714366
603766517,TRI-PREVIFEM TAB,24548
603770192,ACIDIC VAG   GEL,43
603770982,BENZOYL PER  GEL 5%,1
603771082,BENZOYL PER  GEL 10%,1
603771482,BENZOYL PER  GEL 5%,94
603771487,BENZOYL PER  GEL 5%,52
603771582,BENZOYL PER  GEL 10%,77
603771587,BENZOYL PER  GEL 10%,53
603771883,BETAMETH VAL CRE 0.1%,6
603772874,BETAMETH DIP CRE 0.05%,1
603772883,BETAMETH DIP CRE 0.05%,5
603773074,CLOTRIMAZOLE CRE 1%,2
603773078,CLOTRIMAZOLE CRE 1%,6
603773374,DESOXIMETAS  CRE 0.25%,4
603773388,DESOXIMETAS  CRE 0.25%,1
603773588,ERYTHROMYCIN GEL 2%,1
603773752,ERYTHROMYCIN SOL 2%,2
603774874,FLUOCIN ACET CRE 0.025%,3
603774888,FLUOCIN ACET CRE 0.025%,2
603777074,GENTAMICIN   OIN 0.1%,1
603778178,HYDROCORT    CRE 2.5%,5700
603778454,HYDROCORT    LOT 1%,5
603778552,HYDROCORT    LOT 2.5%,14743
603778878,HYDROQUINONE CRE 4%,8
603780176,CLIOQUIN/HC  CRE 3-1%,52
603780550,MICONAZOLE   CRE 2%,511
603781088,N T A        CRE,1
603781874,NYSTATIN     CRE 100000,35410
603781878,NYSTATIN     CRE 100000,144689
603782074,NYSTATIN     CRE 100000U,4
603783188,TESTOSTERONE GEL 10MG/ACT,8513
603785090,TRIAMCINOLON CRE 0.025%,1
603785174,TRIAMCINOLON CRE 0.1%,2
603785190,TRIAMCINOLON CRE 0.1%,15
603785274,TRIAMCINOLON CRE 0.5%,3
603785549,TRIAMCINOLON LOT 0.1%,4
603785974,TRIAMCINOLON OIN 0.1%,1
603786174,TRIAMCINOLON CRE 0.025%,15014
603786190,TRIAMCINOLON CRE 0.025%,8055
603786274,TRIAMCINOLON CRE 0.1%,147364
603786278,TRIAMCINOLON CRE 0.1%,20109
603786290,TRIAMCINOLON CRE 0.1%,130440
603786449,TRIAMCINOLON LOT 0.1%,41707
603787069,TRIAMCIN/ORA PST 0.1%,2
603812711,HEMORRHOIDAL SUP -HC 25MG,1107
603812718,HEMORRHOIDAL SUP -HC 25MG,1254
603813611,PROCTOSERT H SUP 30 MG,1382
603813618,PROCTOSERT H SUP 30 MG,268
603815110,TRIMETHOBENZ SUP 200MG,1
603901354,APAP/CODEINE SOL 120-12/5,63
603901358,APAP/CODEINE SOL 120-12/5,9098
603906354,CETIRIZINE   SYP 1MG/ML,714
603906358,CETIRIZINE   SYP 1MG/ML,412
603917154,GRISEOFULVIN SUS 125/5ML,6282
603938856,PREDNISOLONE SOL 15MG/5ML,1637
603941858,RANITIDINE   SYP 15MG/ML,53065
603942445,RISPERIDONE  SOL 1MG/ML,15095
615036929,DIPHENHYDRAM CAP 50MG,6
615037210,PHENYTOIN    CAP 100MG,1
615040163,ALPRAZOLAM   TAB 0.5MG,1
615040165,ALPRAZOLAM   TAB 0.5MG,1
615042653,ALPRAZOLAM   TAB 0.25MG,1
615044643,FUROSEMIDE   TAB 40MG,1
615045053,LORAZEPAM    TAB 0.5MG,2
615045163,LORAZEPAM    TAB 1MG,1
615045743,CLONAZEPAM   TAB 1MG,1
615047143,TEMAZEPAM    CAP 30MG,13
615054713,DIGOXIN      TAB 0.125MG,10
615054743,DIGOXIN      TAB 0.125MG,11
615066443,FOLIC ACID   TAB 1MG,1
615130813,NITROFURANTN CAP 50MG,1
615131829,POT CHLORIDE CAP 10MEQ CR,4
615131843,POT CHLORIDE CAP 10MEQ CR,8
615132943,ETODOLAC     CAP 200MG,6
615133043,ETODOLAC     CAP 300MG,1
615133329,TRIAM/HCTZ   CAP 37.5-25,2
615133343,TRIAM/HCTZ   CAP 37.5-25,1
615134263,DILTIAZEM    CAP 240MG XR,7
615150801,SULFAMETHOX  TAB 500MG,2
615154229,PREDNISONE   TAB 20MG,1
615155301,MECLIZINE    TAB 12.5MG,2
615155443,MECLIZINE    TAB 25MG,1
615252643,IBUPROFEN    TAB 600MG,1
615253643,METOCLOPRAM  TAB 10MG,1
615254853,BENZTROPINE  TAB 1MG,1
615257843,TRAZODONE    TAB 50MG,15
615350529,CARBAMAZEPIN TAB 200MG,4
615353263,ATENOLOL     TAB 50MG,1
615354443,ATENOLOL     TAB 25MG,1
615355243,METOPROLOL   TAB 50MG,1
615355265,METOPROLOL   TAB 50MG,2
615355363,METOPROLOL   TAB 100MG,1
615356153,CARB/LEVO    TAB 25-100MG,1
615450453,CARB/LEVO    TAB 25-250MG,7
615450729,DICLOFENAC   TAB 75MG EC,1
615452529,ETODOLAC     TAB 400MG,1
615452543,ETODOLAC     TAB 400MG,1
615455029,WARFARIN     TAB 6MG,3
615456653,DIGITEK      TAB 0.125MG,1
615458053,METFORMIN    TAB 500MG,4
615550263,FLUOXETINE   TAB 20MG,1
641012121,HYDROMORPHON INJ 2MG/ML,5
641012125,HYDROMORPHON INJ 2MG/ML,747
641016825,MORPHINE SUL INJ 5MG/ML,1
641018025,MORPHINE SUL INJ 10MG/ML,1
641036721,DEXAMETH PHO INJ 10MG/ML,152
641036725,DEXAMETH PHO INJ 10MG/ML,3656
641037025,CYANOCOBALAM INJ 1000MCG,6
641037125,DIAZEPAM     INJ 5MG/ML,1
641037225,DEXAMETH PHO INJ 4MG/ML,1
641037621,DIPHENHYDRAM INJ 50MG/ML,400
641037625,DIPHENHYDRAM INJ 50MG/ML,13624
641038925,HEP-LOCK     INJ 100/ML,6
641039112,HEPARIN SOD  INJ 1000/ML,1
641039125,HEPARIN SOD  INJ 1000/ML,5
641039525,GENTAMICIN   INJ 40MG/ML,7
641040002,HEPARIN SOD  INJ 5000/ML,45
641040012,HEPARIN SOD  INJ 5000/ML,965
641040021,HEPARIN SOD  INJ 5000/ML,2
641040025,HEPARIN SOD  INJ 5000/ML,173
641040037,HEPARIN SOD  INJ 5000/ML,1
641040064,HEPARIN SOD  INJ 5000/ML,1
641041002,HEPARIN SOD  INJ 10000/ML,15
641041012,HEPARIN SOD  INJ 10000/ML,49
641041025,HEPARIN SOD  INJ 10000/ML,44
641041064,HEPARIN SOD  INJ 10000/ML,1
641047621,PHENOBARB    INJ 65MG/ML,2
641047625,PHENOBARB    INJ 65MG/ML,21
641047721,PHENOBARB    INJ 130MG/ML,3
641047725,PHENOBARB    INJ 130MG/ML,45
641049121,PROCHLORPER  INJ 5MG/ML,17
641049125,PROCHLORPER  INJ 5MG/ML,179
641049321,PHENYTOIN    INJ 50MG/ML,31
641049325,PHENYTOIN    INJ 50MG/ML,46
641049725,SOD CHLORIDE INJ 0.9%,1
641092821,PROMETHAZINE INJ 25MG/ML,1801
641092825,PROMETHAZINE INJ 25MG/ML,11955
641092921,PROMETHAZINE INJ 50MG/ML,8
641092925,PROMETHAZINE INJ 50MG/ML,464
641094835,PROMETHAZINE INJ 25MG/ML,11
641094935,PROMETHAZINE INJ 50MG/ML,52
641095521,PROMETHAZINE INJ 25MG/ML,7
641095525,PROMETHAZINE INJ 25MG/ML,512
641095621,PROMETHAZINE INJ 50MG/ML,2
641095625,PROMETHAZINE INJ 50MG/ML,155
641139731,CHLORPROMAZ  INJ 25MG/ML,11
641139735,CHLORPROMAZ  INJ 25MG/ML,657
641139831,CHLORPROMAZ  INJ 25MG/ML,86
641139835,CHLORPROMAZ  INJ 25MG/ML,2261
641141031,DIGOXIN      INJ 0.25MG/1,11
641141035,DIGOXIN      INJ 0.25MG/1,208
641142535,FUROSEMIDE   INJ 10MG/ML,2
641149531,PROMETHAZINE INJ 25MG/ML,260
641149535,PROMETHAZINE INJ 25MG/ML,4604
641149631,PROMETHAZINE INJ 50MG/ML,17
641149635,PROMETHAZINE INJ 50MG/ML,1257
641226041,CYANOCOBALAM INJ 1000MCG,12
641227041,CYANOCOBALAM INJ 1000MCG,2
641227341,DEXAMETH PHO INJ 4MG/ML,10
641227741,DEXAMETH PHO INJ 10MG/ML,2
641231125,FUROSEMIDE   INJ 10MG/ML,2
641234139,HYDROMORPHON INJ 2MG/ML,6
641234141,HYDROMORPHON INJ 2MG/ML,1076
641239045,LIDOCAINE    INJ 1%,2
641243641,HEP-LOCK     INJ 100/ML,1
641243645,HEP-LOCK     INJ 100/ML,1
641243845,HEP-LOCK     INJ 10UNT/ML,13
641244341,HEP-LOCK     INJ 100/ML,3
641246030,HEPARIN SOD  INJ 5000/ML,2
641246041,HEPARIN SOD  INJ 5000/ML,8
641246045,HEPARIN SOD  INJ 5000/ML,96
641246055,HEPARIN SOD  INJ 5000/ML,49
641247041,HEPARIN SOD  INJ 10000/ML,2
641247045,HEPARIN SOD  INJ 10000/ML,44
641255541,PHENYTOIN    INJ 50MG/ML,2
641255545,PHENYTOIN    INJ 50MG/ML,28
641256944,DIPYRIDAMOLE INJ 5MG/ML,1
641267045,SOD CHLORIDE INJ .9% BACT,1
641277843,VANCOMYCIN   INJ 500MG,1
641400386,MINOXIDIL    TAB 2.5MG,13
641401689,TRAZODONE    TAB 50MG,10
641401788,TRAZODONE    TAB 100MG,10
641600010,ATIVAN       INJ 2MG/ML,2
641600125,ATIVAN       INJ 2MG/ML,6
641600610,ATROPINE SUL INJ 0.4MG/ML,6
641600701,BUMETANIDE   INJ 0.25/ML,1
641600710,BUMETANIDE   INJ 0.25/ML,106
641600801,BUMETANIDE   INJ 0.25/ML,3
641600810,BUMETANIDE   INJ 0.25/ML,83
641601310,DILTIAZEM    INJ 25MG/5ML,7
641601410,DILTIAZEM    INJ 50/10ML,3
641602010,DURAMORPH    INJ 0.5MG/ML,11
641602101,FAMOTIDINE   INJ 200/20ML,8
641602110,FAMOTIDINE   INJ 200/20ML,71
641602201,FAMOTIDINE   INJ 20MG/2ML,7
641602225,FAMOTIDINE   INJ 20MG/2ML,429
641602301,FAMOTIDINE   INJ 40MG/4ML,12
641602325,FAMOTIDINE   INJ 40MG/4ML,166
641602401,FENTANYL CIT INJ 100MCG,9
641602410,FENTANYL CIT INJ 100MCG,37
641602510,FENTANYL CIT INJ 0.05MG/1,34
641602725,FENTANYL CIT INJ 100MCG,8
641602925,FENTANYL CIT INJ 1000MCG,12
641603110,FLUMAZENIL   INJ 0.5MG/5,8
641603301,GLYCOPYRROL  INJ 0.2MG/ML,1
641603325,GLYCOPYRROL  INJ 0.2MG/ML,31
641603425,GLYCOPYRROL  INJ 0.2MG/ML,41
641603525,GLYCOPYRROL  INJ 0.2MG/ML,5
641603610,GLYCOPYRROL  INJ 0.2MG/ML,32
641604125,KETOROLAC    INJ 15MG/ML,1
641604225,KETOROLAC    INJ 30MG/ML,10
641604325,KETOROLAC    INJ 60MG/2ML,1
641604401,LORAZEPAM    INJ 2MG/ML,912
641604425,LORAZEPAM    INJ 2MG/ML,19875
641604525,LORAZEPAM    INJ 4MG/ML,17
641604601,LORAZEPAM    INJ 2MG/ML,91
641604610,LORAZEPAM    INJ 2MG/ML,450
641604710,LORAZEPAM    INJ 4MG/ML,148
641604801,LORAZEPAM    INJ 2MG/ML,25
641604825,LORAZEPAM    INJ 2MG/ML,81
